data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8166211,566,NIG21082,21082,"17 June 2021",2021,1,Battles,"Armed clash","Military Forces of Nigeria (2015-)","Police Forces of Nigeria (2015-); Yansakai Militia",1,"Niger Communal Militia (Nigeria)",,4,14,"Western Africa",Nigeria,Niger,Rijau,,Rijau,11.1038,5.2555,1,"Concise News",National,"On 17 June 2021, Nigerian military and police with local Yansakai militiamen clashed with a Niger communal militia at Uddu, Rijau, Sabon Gari Ushe, and Warari communities (Rijau LGA, Niger). Reported fatalities. Suspects were also arrested. Unknown fatalities coded as 3. Fatalities split across four events.",0,1624310472,NGA
8166212,566,NIG21083,21083,"17 June 2021",2021,1,Battles,"Armed clash","Military Forces of Nigeria (2015-)","Police Forces of Nigeria (2015-); Yansakai Militia",1,"Niger Communal Militia (Nigeria)",,4,14,"Western Africa",Nigeria,Niger,Rijau,,Uddu,11.0333,5.2974,1,"Concise News",National,"On 17 June 2021, Nigerian military and police with local Yansakai militiamen clashed with a Niger communal militia at Uddu, Rijau, Sabon Gari Ushe, and Warari communities (Rijau LGA, Niger). Reported fatalities. Suspects were also arrested. Unknown fatalities coded as 3. Fatalities split across four events.",1,1624310472,NGA
8166477,466,MLI5239,5239,"17 June 2021",2021,1,"Violence against civilians",Attack,"Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,"Civilians (Mali)","Bambara Ethnic Group (Mali)",7,27,"Western Africa",Mali,Segou,Macina,Monimpebougou,Monimpebougou,14.1508,-5.5209,2,Signal,"New media","On 17 June 2021, presumed Katiba Macina (JNIM) militants attacked the Bambara hamlet of Beledougou, near Monimpebougou (Macina, Segou). The militants killed two people and burned houses.",2,1624310473,MLI
8166480,854,BFO4824,4824,"17 June 2021",2021,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Burkina Faso)",,7,27,"Western Africa","Burkina Faso",Nord,Loroum,Titao,Songtaba,13.8351,-1.9886,1,Signal,"New media","On 17 June 2021, presumed JNIM militants attacked the village of Songtaba (Titao, Loroum). The militants pillaged and burned the village. No casualties were reported.",0,1624310473,BFA
8165978,384,CDI2590,2590,"17 June 2021",2021,1,Riots,"Mob violence","Rioters (Ivory Coast)",,5,"Civilians (Ivory Coast)","FPI: Ivorian Popular Front",7,57,"Western Africa","Ivory Coast",Abidjan,Abidjan,Abidjian,Abidjan,5.3411,-4.0281,1,"GardaWorld; Afrique sur 7; Ivoire Times",Other-National,"On 17 June 2021, anti-Gbagbo supporters attacked a bus transporting pro-Gbagbo supporters in Adjame neighborhood of Abidjan city (Abidjian). One person was killed and several others injured. [size=no report]",1,1624310472,CIV
8165979,384,CDI2592,2592,"17 June 2021",2021,1,Riots,"Violent demonstration","Rioters (Ivory Coast)","FPI: Ivorian Popular Front; Journalists (Ivory Coast)",5,"Police Forces of the Ivory Coast (2011-)",,1,15,"Western Africa","Ivory Coast",Abidjan,Abidjan,Abidjian,Abidjan,5.3411,-4.0281,1,"GardaWorld; Abidjan TV; News Abidjan; Connection Ivoirienne; AFP; Koaci News; Soir Info; Africa 1; Ivoire Times",Other-National,"On 17 June 2021, the police forces fired tear gas to disperse a gathering of supporters of former Pres. Laurent Gbagbo (FPI party, opposition) as well as journalists in Port-Bouet, Yopougon, and Koumassi neighborhoods of Abidjan city (Abidjian). The demonstrators replied with stones and erected barricades to protect themselves. 40 people were shortly arrested, and released the following day. [size=no report]",0,1624310472,CIV
8166242,566,NIG21081,21081,"17 June 2021",2021,1,Riots,"Violent demonstration","Rioters (Nigeria)","Taxi Drivers (Nigeria)",5,"Police Forces of Nigeria (2015-)",,1,15,"Western Africa",Nigeria,Delta,Udu,,Ovwian,5.4996,5.7873,1,"Daily Independent (Nigeria)",National,"On 17 June 2021, Okada motorcycle taxi driver demonstrators set a police vehicle ablaze and stormed the police station in Ovwian community (Udu LGA, Delta) over the death of one of their colleagues killed by a police operative. [size=no report]",0,1624310472,NGA
8166499,466,MLI5237,5237,"17 June 2021",2021,1,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Mali)",,3,"Civilians (Mali)","Labour Group (Mali)",7,37,"Western Africa",Mali,Gao,Ansongo,Bara,Bara,15.8171,0.325,1,"Studio Tamani",National,"Looting: On 17 June 2021, unknown gunmen robbed two transport trucks and forced the drivers to drive them into the bush in the village of Bara (Ansongo, Gao). The gunmen also seized a Caterpillar truck used in road work.",0,1624310473,MLI
8166510,768,TOG480,480,"17 June 2021",2021,2,Riots,"Mob violence","Rioters (Togo)","Vigilante Group (Togo)",5,"Civilians (Togo)",,7,57,"Western Africa",Togo,Maritime,Vo,,Wogba,6.2902,1.5106,1,"Togo Online",National,"Around 17 June 2021 (as reported), residents captured a suspected grave profanator and burnt him to death in Wogba village (Vo, Maritime). [size=no report]",1,1624310473,TGO
8166265,566,NIG21078,21078,"17 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)",,6,,,0,60,"Western Africa",Nigeria,Anambra,"Awka South",,Awka,6.2101,7.0741,1,"Daily Post (Nigeria)",National,"On 17 June 2021, youth demonstrators under the auspices of Concerned Anambra Youths staged protest marches in Awka (Awka South, Anambra) over the activities of members of secret cults in the area. [size=no report]",0,1624310472,NGA
8166016,478,MAA1203,1203,"17 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Mauritania)","Muslim Group (Mauritania)",6,,,0,60,"Western Africa",Mauritania,Nouakchott-Ouest,Nouakchott,Nouakchott,Nouakchott,18.0801,-15.9777,1,"Al Akhbar (Mauritania); Adrar Info",National,"On 17 June 2021, headed by a Sheikh, Imams held a sit-in in front of the Presidential Palace in Nouakchott (Nouakchott) to demand the application of Shariah law to face the increased number of homicides and rapes in the country. [size=no report]",0,1624310472,MRT
8166040,466,MLI5238,5238,"17 June 2021",2021,1,Battles,"Armed clash","Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,"Dan Na Ambassagou",,4,24,"Western Africa",Mali,Mopti,Mopti,Sio,Kouna,14.24,-4.147,1,"Signal; Koro Kibaru; Twitter","New media","On 17 June 2021, presumed Katiba Macina (JNIM) militants attacked a Dana Ambassagou position in the village of Kouna (Mopti, Mopti). Two children were burned inside houses, and one person went missing. The militants seized livestock and motorcycles.",2,1624310472,MLI
8166041,466,MLI5240,5240,"17 June 2021",2021,1,"Violence against civilians",Attack,"Military Forces of Mali (2020-)",,1,"Civilians (Mali)","Students (Mali); AEEM: Association of Students and Pupils in Mali",7,17,"Western Africa",Mali,Sikasso,Sikasso,Lobougoula,Sikasso,11.0992,-5.9454,1,"Pinal (Mali); FAMAMali","New media-National","On 17 June 2021, a number of national guards assaulted and wounded the secretary general of the local AEEM student association in the town of Sikasso (Sikasso, Sikasso). The guards ganged up against the AEEM secretary general following a dispute between him and one of the guards.",0,1624310472,MLI
8166562,854,BFO4823,4823,"17 June 2021",2021,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Burkina Faso (2015-)",,1,"JNIM: Group for Support of Islam and Muslims",,2,12,"Western Africa","Burkina Faso",Est,Kompienga,Pama,Singou,11.482,0.8562,2,"Undisclosed Source","Local partner-Other","On 17 June 2021, the Burkinabe Air Force conducted airstrike against presumed JNIM militants positions between Singou (Pama, Kompienga) and Madjoari (Madjoari, Kompienga). Five militants were killed and two militant bases and motorcycles destroyed. Fatalities are split across two events.",2,1624310473,BFA
8166567,854,BFO4821,4821,"17 June 2021",2021,1,"Strategic developments","Looting/property destruction","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Burkina Faso)",,7,27,"Western Africa","Burkina Faso",Est,Komandjari,Foutouri,Lougou,13.0202,0.9804,2,"Undisclosed Source","Local partner-Other","Looting: On 17 June 2021, presumed JNIM militants seized a large amount of cereals from villagers in Lougou-Mossi, near Lougou (Foutouri, Komandjari).",0,1624310473,BFA
8166063,566,NIG21079,21079,"17 June 2021",2021,1,Battles,"Armed clash","Police Forces of Nigeria (2015-)",,1,"Kebbi Communal Militia (Nigeria)",,4,14,"Western Africa",Nigeria,Kebbi,Ngaski,,"Bin Yauri",10.7823,4.8114,1,"Business Day (Nigeria); Guardian (Nigeria); Sahara Reporters",National-Regional,"On 17 June 2021, Nigerian police operatives clashed with a Kebbi communal militia following the abduction of at least thirty female students and four staff of the Government Girls Secondary School in Birnin Yauri (Bin Yauri) (Ngaski LGA, Kebbi). One reported fatality and two injuries. Five kidnapped students and two staff were later rescued by state security operatives [coded separately].",1,1624310472,NGA
8166576,854,BFO4820,4820,"17 June 2021",2021,2,Battles,"Armed clash","Military Forces of Burkina Faso (2015-)",,1,"JNIM: Group for Support of Islam and Muslims and/or Islamic State (West Africa) - Greater Sahara Faction",,2,12,"Western Africa","Burkina Faso",Sahel,Yagha,Sebba,Gandi,13.2872,0.6367,2,"Undisclosed Source","Local partner-Other","Around 17 June 2021 (between 17 - 18 June), the Burkinabe army carried out an operation against presumed JNIM or ISWAP (Greater Sahara) militants in the area of Gandi (Mansila, Yagha). Two militants were killed and equipment recovered.",2,1624310473,BFA
8166587,854,BFO4822,4822,"17 June 2021",2021,1,Battles,"Armed clash","Military Forces of Burkina Faso (2015-)",,1,"Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,12,"Western Africa","Burkina Faso",Cascades,Comoe,Mangodara,Massade-Yirikoro,9.7076,-4.4059,2,"Undisclosed Source","Local partner-Other","On 17 June 2021, the Burkinabe army conducted a combined air-ground operation against Katiba Macina (JNIM) militants in the areas of Massade-Yirikoro and Alidougou (Mangodara, Comoe). Three presumed Katiba Macina (JNIM) militants were killed and motorcycles seized.",3,1624310473,BFA
8166337,566,NIG21080,21080,"17 June 2021",2021,1,"Violence against civilians",Attack,"Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)",4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Zamfara,Bukkuyum,,Bukuyum,12.1377,5.4665,2,HumAngle,National,"On 17 June 2021, Fulani pastoralists launched a reprisal attack against several communities in Bukkuyum LGA (coded to Bukuyum) and Anka LGA in Zamfara State, killing about 47 residents and displacing over 1000 others. Among the communities attacked: Maiduma, Babban-Baye, Tungar-Rogo, Bunkasau, Tungar Jando, Tungar-Fayafayi, Tungar-Dutsi, Tungar-Namatsafa, Gana, Kamaru, Kwali, Bardi, Mari, Kimi, and Galamu villages. Fatalities split across two events.",24,1624310473,NGA
8166340,566,NIG21077,21077,"17 June 2021",2021,1,"Violence against civilians",Attack,"Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)",4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Zamfara,Anka,,Anka,12.1138,5.9243,2,HumAngle,National,"On 17 June 2021, Fulani pastoralists launched a reprisal attack against several communities in Bukkuyum LGA and Anka LGA in Zamfara State, killing about 47 residents and displacing over 1000 others. Among the communities attacked: Maiduma, Babban-Baye, Tungar-Rogo, Bunkasau, Tungar Jando, Tungar-Fayafayi, Tungar-Dutsi, Tungar-Namatsafa, Gana, Kamaru, Kwali, Bardi, Mari, Kimi, and Galamu villages. Fatalities split across two events.",23,1624310473,NGA
8166602,854,BFO4825,4825,"17 June 2021",2021,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Burkina Faso (2015-)",,1,"JNIM: Group for Support of Islam and Muslims",,2,12,"Western Africa","Burkina Faso",Est,Tapoa,Diapaga,Tapoa-Djerma,12.2845,1.9398,1,"Undisclosed Source","Local partner-Other","On 17 June 2021, the Burkinabe Air Force conducted airstrike against presumed JNIM militants positions in the village of Tapoa-Djerma (Diapaga, Tapoa). Five militants were killed and two militant bases and motorcycles destroyed. Fatalities are split across two events.",3,1624310473,BFA
8166366,466,MLI5236,5236,"17 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Mali)","Farmers (Mali)",6,,,0,60,"Western Africa",Mali,Koulikoro,Kati,"Baguineda Camp",Baguineda,12.6167,-7.7796,1,Maliweb,National,"On 17 June 2021, a number of farmers staged a demonstration march due to the lack of water in the town of Baguineda (Kati, Koulikoro). [size=no report]",0,1624310473,MLI
8166120,384,CDI2591,2591,"17 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Ivory Coast)","CVCI: Group of Victims of Cote dIvoire",6,,,0,60,"Western Africa","Ivory Coast",Abidjan,Abidjan,Abidjian,Abidjan,5.3411,-4.0281,1,"Abidjan TV",National,"On 17 June 2021, hundreds of members of the CVCI association of victims demonstrated in Cocody neighborhood of Abidjan city (Abidjian), against the return of former Pres. Laurent Gbagbo. [size=hundreds]",0,1624310472,CIV
8166135,478,MAA1202,1202,"17 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Mauritania)",,6,,,0,60,"Western Africa",Mauritania,Nouakchott-Ouest,Nouakchott,Nouakchott,Nouakchott,18.0801,-15.9777,1,"Al Akhbar (Mauritania)",National,"On 17 June 2021, residents of Toujounine held a sit-in in Nouakchott (Nouakchott), to denounce the deterioration of the security after a rape case was registered in their neighbourhood. [size=no report]",0,1624310472,MRT
8166405,624,GNB280,280,"16 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Guinea-Bissau)","Students (Guinea-Bissau)",6,,,0,60,"Western Africa",Guinea-Bissau,Bissau,SAB,,Bissau,11.8726,-15.5885,1,"O Democrata",National,"On 16 June 2021, a group of students gathered in front of the Portuguese embassy in Bissau (SAB, Bissau) in a demonstration to demand the issuance of visas for their studies in the country. [size=no report]",0,1624310473,GNB
8166205,566,NIG21075,21075,"16 June 2021",2021,1,Battles,"Armed clash","Police Forces of Nigeria (2015-)",,1,"Unidentified Armed Group (Nigeria)",,3,13,"Western Africa",Nigeria,Ogun,Odedah,,Odeda,7.2167,3.5167,2,"CKN Nigeria",National,"On 16 June 2021, unidentified gunmen clashed with police operatives attached to four Chinese expatriates at Adeaga/Alaagba village (Odedah LGA, Ogun) [coded to Odeda] and abducted the expatriates. One reported fatality.",1,1624310472,NGA
8166476,686,SEN1343,1343,"16 June 2021",2021,1,Riots,"Violent demonstration","Rioters (Senegal)","Students (Senegal)",5,"Civilians (Senegal)","Students (Senegal)",7,57,"Western Africa",Senegal,Kaolack,Kaolack,Koumbal,Kaolack,14.15,-16.0666,1,Sen360,National,"On 16 June 2021, students of UVS University demonstrated in Kaolack town (Koumbal, Kaolack), demanding better studying conditions. They attacked several high schools and chased students back to their homes. [size=no report]",0,1624310473,SEN
8166479,854,BFO4819,4819,"16 June 2021",2021,1,"Strategic developments","Looting/property destruction","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Burkina Faso)",,7,27,"Western Africa","Burkina Faso",Nord,Loroum,Titao,"Yirwouya Tenga-Silmimossi",13.8505,-2.0208,1,Signal,"New media","Looting: On 16 June 2021, presumed JNIM militants seized livestock in the village of Yirwouya Tenga-Silmimossi (Titao, Loroum).",0,1624310473,BFA
8165972,854,BFO4811,4811,"16 June 2021",2021,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims and/or Islamic State (West Africa) - Greater Sahara Faction",,2,"Military Forces of Burkina Faso (2015-)","VDP: Volunteer for Defense of Homeland",1,12,"Western Africa","Burkina Faso",Sahel,Yagha,Mansila,Babonga,13.1065,0.5922,2,"Facebook; Signal","New media","On 16 June 2021, presumed JNIM or ISWAP (Greater Sahara) militants ambushed a joint army and volunteer fighter (VDP) force in the hamlet of Tchela, near Babonga (Mansila, Yagha). The joint force repelled the attack. No casualties were reported.",0,1624310472,BFA
8166484,562,NIR14067,14067,"16 June 2021",2021,1,"Strategic developments","Looting/property destruction","Unidentified Armed Group (Niger)",,3,"Civilians (Niger)","Aid Workers (Niger)",7,37,"Western Africa",Niger,Tahoua,Abalak,Abalak,Abalak,15.4638,6.2865,2,Signal,"New media","Looting: On 16 June 2021, unknown gunmen seized a vehicle belonging to a local subsidiary of a German development agency on the road between Abalak and Abangar (Abalak, Tahoua).",0,1624310473,NER
8165973,854,BFO4817,4817,"16 June 2021",2021,1,"Violence against civilians",Attack,"JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Burkina Faso)","Government of Burkina Faso (2015-)",7,27,"Western Africa","Burkina Faso",Est,Kompienga,Madjoari,Tambarga,11.4474,1.2186,1,"Undisclosed Source; Facebook; Signal; Infowakat; Actualite (Burkina Faso); Xinhua","Local partner-Other","On 16 June 2021, presumed JNIM militants attacked the village of Tambarga (Madjoari, Kompienga). The militants killed three people including a village development council (CVD) president.",3,1624310472,BFA
8166488,854,BFO4816,4816,"16 June 2021",2021,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Islamic State (West Africa) - Greater Sahara Faction",,2,22,"Western Africa","Burkina Faso",Sahel,Oudalan,Gorom-Gorom,Ourfou-Belel,14.3383,-0.3839,1,Signal,"New media","On 16 June 2021, JNIM militants captured four ISWAP (Greater Sahara) militants in the village of Ourfou-Belel (Gorom-Gorom, Oudalan).",0,1624310473,BFA
8166239,566,NIG21073,21073,"16 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)","Labour Group (Nigeria)",6,,,0,60,"Western Africa",Nigeria,Lagos,Amowo-Odofin,,Festac,6.4663,3.283,1,"Daily Independent (Nigeria)",Subnational,"On 16 June 2021, traders of the Agboju Plank and Building Materials Market staged a demonstration at the Federal Housing Authority office in Festac Town (Amowo-Odofin LGA, Lagos) to protest against the demolition of their trading place. [size=no report]",0,1624310472,NGA
8166245,566,NIG21076,21076,"16 June 2021",2021,1,"Violence against civilians",Attack,"Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)",4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Ondo,"Akoko North West",,"Uro Ajowa",7.6932,5.833,1,"Daily Independent (Nigeria)",National,"On 16 June 2021, suspected Fulani pastoralists attacked Ajowa-Akoko (Uro Ajowa) (Akoko North West LGA, Ondo) and killed two residents and abducted two others.",2,1624310472,NGA
8166549,466,MLI5234,5234,"16 June 2021",2021,1,"Violence against civilians",Attack,"Unidentified Armed Group (Mali)",,3,"Civilians (Mali)",,7,37,"Western Africa",Mali,Mopti,Mopti,Socoura,Barbe,14.4951,-4.0918,1,Twitter,"New media","On 16 June 2021, a male individual was killed and decapitated under unclear circumstances near a Malian army checkpoint in the village of Barbe (Mopti, Mopti).",1,1624310473,MLI
8166550,466,MLI5233,5233,"16 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Mali)",,6,,,0,60,"Western Africa",Mali,Kidal,Tessalit,Adjelhoc,Aguelhok,19.4695,0.856,1,Twitter,"New media","On 16 June 2021, a number of residents demonstrated in the village of Aguelhok (Tessalit, Kidal). The demonstrators demanded that MINUSMA relocate the military camp away from residential areas. [size=no report]",0,1624310473,MLI
8166039,466,MLI5235,5235,"16 June 2021",2021,1,"Violence against civilians",Attack,"Katiba Macina","JNIM: Group for Support of Islam and Muslims",2,"Civilians (Mali)",,7,27,"Western Africa",Mali,Mopti,Bandiagara,Doucoumbo,Tougoume,14.4664,-3.7054,1,"Signal; Twitter","New media","On 16 June 2021, presumed Katiba Macina (JNIM) militants attacked the village of Tougoume (Bandiagara, Mopti). The militants killed one person and seized livestock.",1,1624310472,MLI
8166297,478,MAA1201,1201,"16 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Mauritania)",,6,,,0,60,"Western Africa",Mauritania,Nouakchott-Ouest,Nouakchott,Nouakchott,Nouakchott,18.0801,-15.9777,1,Essahraa,National,"On 16 June 2021, Sheikh Reda creditors held a sit-in in front of the Presidential Palace in Nouakchott (Nouakchott), to demand to be compensated for their financial losses. [size=no report]",0,1624310472,MRT
8166298,478,MAA1200,1200,"16 June 2021",2021,1,Protests,"Peaceful protest","Protesters (Mauritania)",,6,,,0,60,"Western Africa",Mauritania,Nouakchott-Ouest,Nouakchott,Nouakchott,Nouakchott,18.0801,-15.9777,1,Essahraa,National,"On 16 June 2021, activists held a sit-in in front of the Presidential palace in Nouakchott (Nouakchott), to denounce the deterioration of the security in the capital with the increase of homicides. [size=no report]",0,1624310472,MRT
8166572,854,BFO4813,4813,"16 June 2021",2021,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Burkina Faso (2015-)",,1,"JNIM: Group for Support of Islam and Muslims",,2,12,"Western Africa","Burkina Faso",Sahel,Yagha,Mansila,Botan,13.2357,0.7071,2,"Undisclosed Source","Local partner-Other","On 16 June 2021, the Burkinabe Air Force conducted airstrike against presumed JNIM positions near the village of Botan (Mansila, Yagha). Casualties are unknown.",0,1624310473,BFA
8166062,566,NIG21074,21074,"16 June 2021",2021,1,Riots,"Mob violence","Rioters (Nigeria)","NURTW: National Union of Road Transport Workers; Labour Group (Nigeria)",5,"Rioters (Nigeria)","NURTW: National Union of Road Transport Workers; Labour Group (Nigeria)",5,55,"Western Africa",Nigeria,Oyo,Akinyele,,Ibadan,7.4333,3.9167,1,"Daily Independent (Nigeria); CKN Nigeria",National,"On 16 June 2021, two factions of the National Union of Road Transport Workers clashed along Iwo road in Ibadan (Akinyele LGA, Oyo). Two reported fatalities. Unknown reason for clash. Property damage also reported. [size=no report]",2,1624310472,NGA
8166595,854,BFO4815,4815,"16 June 2021",2021,1,"Violence against civilians","Abduction/forced disappearance","JNIM: Group for Support of Islam and Muslims",,2,"Civilians (Burkina Faso)","Miners (Burkina Faso)",7,27,"Western Africa","Burkina Faso",Est,Gourma,Matiacoali,Matiakoali,12.3548,1.0328,2,"Undisclosed Source","Local partner-Other","On 16 June 2021, presumed JNIM militants abducted three male miners on the road between Matiakoali (Matiacoali, Gourma) and Fada NGourma (Fada Ngourma, Gourma).",0,1624310473,BFA
8166601,854,BFO4818,4818,"16 June 2021",2021,1,Battles,"Armed clash","JNIM: Group for Support of Islam and Muslims",,2,"Military Forces of Burkina Faso (2015-)",,1,12,"Western Africa","Burkina Faso",Est,Tapoa,Diapaga,Tapoa-Djerma,12.2845,1.9398,1,"Undisclosed Source","Local partner-Other","On 16 June 2021, presumed JNIM militants attacked a Burkinabe army unit in the village of Tapoa-Djerma (Diapaga, Tapoa). The soldiers repelled the attack and killed six militants, and recovered equipment.",6,1624310473,BFA
